what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1350974791531
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1350974791531
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1350974791546
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1350974791593
started,bundle,com.python.pydev.analysis,1.5.7.2010050621,"com.python.pydev.analysis",1350974791640
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1350974791718
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1350974791734
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1350974791859
started,bundle,net.sf.eclipsecs.core,5.3.0.201012121300,"net.sf.eclipsecs.core",1350974791890
started,bundle,net.sf.eclipsecs.ui,5.3.0.201012121300,"net.sf.eclipsecs.ui",1350974792046
started,bundle,oracle.eclipse.tools.common,3.2.0.201101271036,"oracle.eclipse.tools.common",1350974792140
started,bundle,oracle.eclipse.tools.common.services.ui,3.2.0.201101271036,"oracle.eclipse.tools.common.services.ui",1350974792234
started,bundle,oracle.eclipse.tools.common.ui,3.2.0.201101271036,"oracle.eclipse.tools.common.ui",1350974792312
started,bundle,oracle.eclipse.tools.common.upgrade,3.2.0.201101271036,"oracle.eclipse.tools.common.upgrade",1350974792343
started,bundle,oracle.eclipse.tools.envcheck,3.2.0.201101271036,"oracle.eclipse.tools.envcheck",1350974792390
started,bundle,oracle.eclipse.tools.glassfish,3.2.0.201101241555,"oracle.eclipse.tools.glassfish",1350974792390
started,bundle,oracle.eclipse.tools.orm,3.2.0.201101271036,"oracle.eclipse.tools.orm",1350974792390
started,bundle,oracle.eclipse.tools.spring,3.2.0.201101271036,"oracle.eclipse.tools.spring",1350974792390
started,bundle,oracle.eclipse.tools.spring.ui,3.2.0.201101271036,"oracle.eclipse.tools.spring.ui",1350974792484
started,bundle,oracle.eclipse.tools.weblogic,3.2.0.201101271036,"oracle.eclipse.tools.weblogic",1350974792500
started,bundle,oracle.eclipse.tools.weblogic.scripting.ui,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.scripting.ui",1350974792625
started,bundle,oracle.eclipse.tools.weblogic.ui,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.ui",1350974792625
started,bundle,oracle.eclipse.tools.webtier.common.services,3.2.0.201101271036,"oracle.eclipse.tools.webtier.common.services",1350974792656
started,bundle,oracle.eclipse.tools.webtier.ui,3.2.0.201101271036,"oracle.eclipse.tools.webtier.ui",1350974792703
started,bundle,oracle.eclipse.tools.xmlbeans,3.2.0.201101271036,"oracle.eclipse.tools.xmlbeans",1350974792703
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1350974792734
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1350974792796
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1350974792890
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1350974792937
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1350974792984
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1350974793046
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515-p002,"org.eclipse.core.jobs",1350974793062
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1350974793140
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1350974793312
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1350974793343
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1350974793437
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1350974793890
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1350974793890
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100614-1136,"org.eclipse.emf.common.ui",1350974793890
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1350974793890
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1350974794031
started,bundle,org.eclipse.emf.edit,2.6.0.v20100614-1136,"org.eclipse.emf.edit",1350974794031
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100614-1136,"org.eclipse.emf.edit.ui",1350974794140
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1350974794187
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1350974794218
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1350974794312
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1350974794343
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1350974794390
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1350974794453
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1350974794500
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1350974794515
