what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1355762510968
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1355762511187
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1355762511265
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1355762511390
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1355762511468
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1355762511562
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1355762511625
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1355762511640
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1355762511687
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1355762511750
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1355762511937
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1355762511984
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1355762512078
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1355762512218
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1355762512234
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1355762512421
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1355762512484
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1355762512531
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1355762512546
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1355762512687
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1355762513203
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1355762513281
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1355762513375
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1355762513453
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1355762513515
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1355762513515
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1355762513562
started,bundle,org.eclipse.sapphire.modeling,0.1.1.201101192016,"org.eclipse.sapphire.modeling",1355762513640
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1355762513765
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1355762513859
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1355762514000
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1355762514125
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1355762514218
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1355762514312
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1355762514515
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1355762514609
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1355762514718
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1355762514781
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1355762514812
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1355762514859
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1355762514921
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1355762515031
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1355762515093
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1355762515140
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1355762515171
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114-p001,"org.eclipse.wst.common.project.facet.core",1355762515250
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1355762515328
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1355762515390
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1355762515671
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1355762515765
started,bundle,org.eclipse.wst.server.ui,1.1.303.v20100601-p001,"org.eclipse.wst.server.ui",1355762515812
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1355762515906
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1355762516000
started,bundle,org.python.pydev,1.5.7.2010050621,"org.python.pydev",1355762516062
started,bundle,org.python.pydev.core,1.5.7.2010050621,"org.python.pydev.core",1355762516093
started,bundle,org.springframework.ide.eclipse.aop.core,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.aop.core",1355762516171
started,bundle,org.springframework.ide.eclipse.aop.ui,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.aop.ui",1355762516250
started,bundle,org.springframework.ide.eclipse.beans.core,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.core",1355762516359
started,bundle,org.springframework.ide.eclipse.beans.ui,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.ui",1355762516453
started,bundle,org.springframework.ide.eclipse.core,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.core",1355762516562
started,bundle,org.springframework.ide.eclipse.ui,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.ui",1355762516718
started,bundle,com.collabnet.subversion.merge,3.0.5,"com.collabnet.subversion.merge",1355762516734
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1355762516734
started,bundle,org.tigris.subversion.subclipse.core,1.8.4,"org.tigris.subversion.subclipse.core",1355762516734
started,bundle,org.tigris.subversion.subclipse.ui,1.8.4,"org.tigris.subversion.subclipse.ui",1355762516734
os,sysinfo,,,"win32",1355762516750
arch,sysinfo,,,"x86",1355762516750
ws,sysinfo,,,"win32",1355762516750
locale,sysinfo,,,"en_US",1355762516750
processors,sysinfo,,,"2",1355762516750
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355762516750
java.runtime.version,sysinfo,,,"1.7.0-ea-b59",1355762516750
java.specification.name,sysinfo,,,"Java Platform API Specification",1355762516750
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355762516750
java.specification.version,sysinfo,,,"1.7",1355762516750
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1355762516750
java.version,sysinfo,,,"1.7.0-ea",1355762516750
java.vm.info,sysinfo,,,"mixed mode",1355762516750
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1355762516750
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355762516750
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355762516750
java.vm.specification.version,sysinfo,,,"1.0",1355762516750
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1355762516750
java.vm.version,sysinfo,,,"16.0-b03",1355762516750
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1355762517000
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1355762517187
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.artifact.repository",1355762517312
